ISOcode,AgeStart,AgeEnd,Ri,Di,Ni,Mi
192,75,79,95,46,595951,18341
192,80,84,68,39,472712,27899
192,85,999,62,42,440412.5,74953
196,0,4,0,0,3543741.5,8822
196,5,9,0,0,3529821.5,919
196,10,14,0,0,3767233.5,1267
196,15,19,0,0,4090937.5,4066
196,20,24,0,0,4434691,6584
196,25,29,0,0,4576470.5,7064
196,30,34,1,0,4280871.5,6891
196,35,39,2,0,3911341.5,7098
196,40,44,3,0,3570438,8031
196,45,49,0,0,3183638.5,9224
196,50,54,4,1,2988609,12345
196,55,59,5,1,2823830,17425
196,60,64,6,2,2376512.5,23418
196,65,69,5,1,1806963.5,28068
196,70,74,5,1,1275621.5,32181
196,75,79,5,0,835125.5,36518
196,80,84,2,1,454530.5,38335
196,85,999,3,1,287566,55999
203,0,4,0,0,113418,1161
203,5,9,0,0,105183,102
203,10,14,0,0,96043.5,73
203,15,19,0,0,84663,122
203,20,24,0,0,75992.5,144
203,25,29,1,0,59892,118
203,30,34,2,0,57078.5,131
203,35,39,10,1,51520,156
203,40,44,33,7,45718,193
203,45,49,67,24,36579.5,229
203,50,54,80,34,29597,280
203,55,59,107,49,23343.5,333
203,60,64,121,52,17994,401
203,65,69,155,62,14069.5,493
203,70,74,153,64,10437.5,592
203,75,79,114,50,7547.5,691
203,80,84,64,31,3658.5,519
203,85,999,48,26,1452.5,349
204,0,4,0,0,48010,121
204,5,9,0,0,44809.5,10
204,10,14,2,0,40818,8
204,15,19,3,2,30516.5,14
204,20,24,0,0,19722.5,11
204,25,29,6,3,20342,12
204,30,34,3,0,20887,15
204,35,39,3,1,20268,25
204,40,44,7,4,17022,34
204,45,49,5,2,13701.5,48
204,50,54,5,3,8911.5,50
204,55,59,8,1,7214.5,63
204,60,64,9,7,5005,71
204,65,69,4,3,3444.5,79
204,70,74,12,9,1948,72
204,75,79,7,6,1373,83
204,80,84,3,2,797.5,81
204,85,999,3,1,477.5,96
208,0,4,0,0,875680,7582
208,5,9,0,0,839345.5,766
208,10,14,0,0,774842.5,584
208,15,19,0,0,617780,829
208,20,24,0,0,500529,1034
208,25,29,0,0,432358.5,1157
208,30,34,1,0,389514.5,1372
