"ISOcode","AgeStart","AgeEnd","Ni","Mi"
152,30,"34",807067,570
152,35,"39",741692,657
152,40,"44",683296,925
152,45,"49",653192,1259
152,50,"54",633283,1912
152,55,"59",595094.5,2887
152,60,"64",531979,4025
152,65,"69",449006,5265
152,70,"74",357638,6588
152,75,"79",247172,8204
152,80,"84",168704,10552
152,85,"89",111599,10442
152,90,"94",60840,9249
152,95,"99",20168.5,4840
152,100,"null",3440,1326
156,0,"4",30881859.5,32080
156,5,"9",42081698,9776
156,10,"14",40531417,8434
156,15,"19",36896406,9198
156,20,"24",37376634,15619
156,25,"29",41945472,22574
156,30,"34",56215895,34752
156,35,"39",52874276,38055
156,40,"44",46748113,46917
156,45,"49",51601053,78191
156,50,"54",61093663,152052
156,55,"59",57072075,213606
156,60,"64",35324419.5,242514
156,65,"69",39871363,450718
156,70,"74",29374951.5,557619
156,75,"79",17400219.5,595989
156,80,"84",11425821.5,755211
156,85,"89",6558104.5,782462
156,90,"94",2339714.5,498764
156,95,"99",440660,159153
156,100,"null",34848,18824
158,0,"4",399616.5,279
158,5,"9",508232,39
158,10,"14",465414,52
158,15,"19",511755.5,103
158,20,"24",633979,167
158,25,"29",744376,196
158,30,"34",765518.5,325
158,35,"39",867268.5,560
158,40,"44",1014539.5,1150
158,45,"49",919426.5,1926
158,50,"54",911377,3007
158,55,"59",933445.5,3974
158,60,"64",894968.5,5091
158,65,"69",787682,5849
158,70,"74",578779,7509
158,75,"79",327536.5,7827
158,80,"84",273600,13327
158,85,"89",162597.5,18076
158,90,"94",76410,14633
158,95,"99",23488,6843
158,100,"null",4526,1896
170,0,"4",1735370.5,3855
170,5,"9",1728532,398
170,10,"14",1843522.5,519
170,15,"19",2007547,970
170,20,"24",2195581,1272
170,25,"29",2282551,1527
170,30,"34",2141365.5,1778
170,35,"39",1965867.5,2162
170,40,"44",1810948,2891
170,45,"49",1630043.5,3626
170,50,"54",1543745.5,4962
170,55,"59",1469375,7211
170,60,"64",1250927.5,9684
170,65,"69",965312.5,11819
170,70,"74",695081,13797
170,75,"79",472012,16535
170,80,"84",272891,19216
170,85,"89",132043.5,17446
170,90,"94",48821.5,11228
170,95,"99",11221,4247
170,100,"null",1492,851
174,0,"4",55979.5,538
174,5,"9",51888,47
174,10,"14",47013.5,33
174,15,"19",41189,47
174,20,"24",37673,53
174,25,"29",30912.5,51
174,30,"34",29308,60
174,35,"39",25556.5,70
174,40,"44",22521.5,84
174,45,"49",17681,94
174,50,"54",14171,108
174,55,"59",11549.5,129
174,60,"64",9183,160
174,65,"69",7442.5,211
174,70,"74",5585,270
174,75,"79",4109.5,335
174,80,"84",2017,263
174,85,"89",644,131
174,90,"94",188,55
174,95,"99",17.5,7
174,100,"null",1,1
175,0,"4",23753,53
175,5,"9",22760,4
175,10,"14",20697,3
175,15,"19",15764,5
175,20,"24",11422,4
175,25,"29",12146.5,5
175,30,"34",12258,8
175,35,"39",11265.5,12
175,40,"44",9013.5,16
175,45,"49",6480,20
175,50,"54",4352,20
175,55,"59",3478.5,23
175,60,"64",2353,25
175,65,"69",1609,28
175,70,"74",1006,29
175,75,"79",718,35
175,80,"84",339.5,30
175,85,"89",191.5,30
175,90,"94",71.5,17
175,95,"99",14,5
175,100,"null",1,1
178,0,"4",433689,3471
178,5,"9",415885,365
178,10,"14",384684,271
178,15,"19",307307,360
178,20,"24",249327,439
178,25,"29",215600.5,520
178,30,"34",194753.5,630
178,35,"39",178570.5,792
178,40,"44",157489.5,939
178,45,"49",133994.5,1073
178,50,"54",108008.5,1187
178,55,"59",84236.5,1253
178,60,"64",60256,1300
178,65,"69",41097.5,1338
178,70,"74",25747,1334
178,75,"79",14933,1234
178,80,"84",7985,1062
178,85,"89",3145.5,662
178,90,"94",821.5,257
178,95,"99",104.5,46
178,100,"null",4.5,3
180,0,"4",9331883,141081
180,5,"9",7773600,25677
180,10,"14",6459679,12449
180,15,"19",5307348.5,12735
180,20,"24",4465260.5,13435
180,25,"29",3805641.5,13383
180,30,"34",3078798.5,12455
180,35,"39",2495400,11882
180,40,"44",1971846,11898
180,45,"49",1648675,11811
180,50,"54",1429830,13987
180,55,"59",1182953,15496
180,60,"64",931582,18485
180,65,"69",691396,21659
180,70,"74",482911.5,24350
180,75,"79",315616,25290
180,80,"84",156488,20336
180,85,"89",55397.5,11315
180,90,"94",12712.5,3886
180,95,"99",1566.5,720
180,100,"null",82,55
184,0,"4",516,1
184,5,"9",588.5,0
184,10,"14",667,0
184,15,"19",570,0
184,20,"24",423,0
184,25,"29",443.5,0
184,30,"34",465.5,0
184,35,"39",475,1
184,40,"44",462,1
184,45,"49",505,1
184,50,"54",504.5,2
184,55,"59",504.5,3
184,60,"64",425,4
184,65,"69",320,5
184,70,"74",237,6
184,75,"79",181.5,8
184,80,"84",125.5,10
184,85,"89",53,7
184,90,"94",17,4
184,95,"99",3.5,1
184,100,"null",0,0
188,0,"4",146643.5,191
188,5,"9",170069,23
188,10,"14",176606,34
188,15,"19",176110,78
188,20,"24",191854.5,75
188,25,"29",199488,97
188,30,"34",204812.5,138
188,35,"39",202055.5,178
188,40,"44",182897.5,265
188,45,"49",163223,304
188,50,"54",154738.5,435
188,55,"59",152301,590
188,60,"64",134715,857
188,65,"69",104750,994
188,70,"74",79500,1238
188,75,"79",56684,1658
188,80,"84",37462,2013
188,85,"89",22155,2125
188,90,"94",10162.5,1671
188,95,"99",2989.5,792
188,100,"null",508,208
191,0,"4",82618.5,59
191,5,"9",88127,8
191,10,"14",100524.5,7
191,15,"19",96093,16
191,20,"24",98393,26
191,25,"29",102159.5,23
191,30,"34",107891.5,39
191,35,"39",125381,56
191,40,"44",135161.5,128
